CountryCode,Rank,CountryName,GDP,
USA,1,UnitedStates,15684800,
CHN,2,China,8358363,
JPN,3,Japan,5959718,
DEU,4,Germany,3399589,
FRA,5,France,2612878,
GBR,6,UnitedKingdom,2435174,
BRA,7,Brazil,2252664,
RUS,8,RussianFederation,2014776,
ITA,9,Italy,2013263,
IND,10,India,1841717,
CAN,11,Canada,1821424,
AUS,12,Australia,1520608,
ESP,13,Spain,1349351,
MEX,14,Mexico,1177956,
KOR,15,Korea,1129598,
IDN,16,Indonesia,878193,
TUR,17,Turkey,789257,
NLD,18,Netherlands,772227,
SAU,19,SaudiArabia,711050,
CHE,20,Switzerland,632194,
SWE,21,Sweden,525742,
IRN,22,Iran,514060,
NOR,23,Norway,499667,
POL,24,Poland,489795,
BEL,25,Belgium,483709,
ARG,26,Argentina,470533,
AUT,27,Austria,399649,
ZAF,28,SouthAfrica,384313,
VEN,29,Venezuela,381286,
COL,30,Colombia,369789,
THA,31,Thailand,365966,
ARE,32,UnitedArabEmirates,348595,
DNK,33,Denmark,314242,
MYS,34,Malaysia,303526,
SGP,35,Singapore,274701,
CHL,36,Chile,268188,
HKG,37,HongKongSAR,263259,
NGA,38,Nigeria,262606,
ISR,39,Israel,258217,
EGY,40,Egypt,257286,
PHL,41,Philippines,250182,
FIN,42,Finland,250024,
GRC,43,Greece,249099,
PAK,44,Pakistan,231182,
PRT,45,Portugal,212454,
IRL,46,Ireland,210331,
IRQ,47,Iraq,210280,
DZA,48,Algeria,207955,
KAZ,49,Kazakhstan,200485,
PER,50,Peru,196961,
CZE,51,CzechRepublic,195657,
UKR,52,Ukraine,176310,
QAT,53,Qatar,171476,
ROM,54,Romania,169396,
NZL,55,NewZealand,167347,
KWT,56,Kuwait,160913,
VNM,57,Vietnam,141669,
HUN,58,Hungary,125508,
BGD,59,Bangladesh,115610,
AGO,60,Angola,114197,
PRI,61,PuertoRico,101496,
MAR,62,Morocco,95982,
SVK,63,SlovakRepublic,91605,
ECU,64,Ecuador,84040,
SYR,65,SyrianArabRepublic,73672,
OMN,66,Oman,69972,
AZE,67,Azerbaijan,68727,
BLR,68,Belarus,63267,
LKA,69,SriLanka,59421,
DOM,70,DominicanRepublic,58951,
SDN,71,Sudan,58769,
LUX,72,Luxembourg,57117,
HRV,73,Croatia,56442,
UZB,74,Uzbekistan,51113,
BGR,75,Bulgaria,51030,
GTM,76,Guatemala,50545,
URY,77,Uruguay,49060,
TUN,78,Tunisia,45662,
SVN,79,Slovenia,45280,
CRI,80,CostaRica,45153,
MAC,81,MacaoSAR,43582,
ETH,82,Ethiopia,43133,
LBN,83,Lebanon,42945,
LTU,84,Lithuania,42087,
GHA,85,Ghana,40711,
